Vehicle_Count,Mean,Std,Min,Max
1,3.3953,0.1954,3.1999,3.5908
2,4.2979,0.3279,3.97,4.6257
3,4.0329,0.679,3.3539,4.712
4,4.1265,0.3477,3.7789,4.4742
5,3.4644,0.2605,3.2039,3.725
