Vehicle_Count,Mean,Std,Min,Max
1,1333.5,12.5,1321,1346
2,1368.5,10.5,1358,1379
3,1180.5,22.5,1158,1203
4,1191.0,5.0,1186,1196
5,1183.5,5.5,1178,1189
