Vehicle_Count,Mean,Std,Min,Max
1,0.0656,0.0047,0.0609,0.0704
2,0.0703,0.0011,0.0692,0.0714
3,0.0771,0.0032,0.0739,0.0802
4,0.077,0.0037,0.0733,0.0806
5,0.0765,0.0024,0.0741,0.0788
