Vehicle_Count,Mean,Std,Min,Max
1,6.2101,0.522,5.6881,6.7321
2,5.9217,0.0609,5.8608,5.9826
3,5.7696,0.0057,5.7639,5.7753
4,5.4484,0.1621,5.2863,5.6106
5,5.6553,0.0946,5.5606,5.7499
