Vehicle_Count,Mean,Std,Min,Max
1,165.65,1.05,164.6,166.7
2,169.65,1.15,168.5,170.8
3,150.85,2.55,148.3,153.4
4,151.65,0.35,151.3,152.0
5,150.6,0.4,150.2,151.0
