Vehicle_Count,Mean,Std,Min,Max
1,0.0047,0.0004,0.0042,0.0051
2,0.0043,0.0001,0.0043,0.0044
3,0.0049,0.0001,0.0048,0.005
4,0.0046,0.0002,0.0044,0.0047
5,0.0048,0.0001,0.0047,0.0049
