Vehicle_Count,Mean,Std,Min,Max
1,163.65,1.05,162.6,164.7
2,167.65,1.15,166.5,168.8
3,148.85,2.55,146.3,151.4
4,149.65,0.35,149.3,150.0
5,148.6,0.4,148.2,149.0
