Vehicle_Count,Mean,Std,Min,Max
1,10.8684,0.7149,10.1535,11.5834
2,11.9342,0.2674,11.6668,12.2016
3,11.6349,0.674,10.9609,12.3089
4,11.6728,0.5278,11.145,12.2005
5,11.5125,0.3241,11.1884,11.8366
