Vehicle_Count,Mean,Std,Min,Max
1,0.1697,0.0013,0.1684,0.171
2,0.1753,0.0027,0.1726,0.1779
3,0.1671,0.0074,0.1597,0.1745
4,0.1719,0.0002,0.1718,0.1721
5,0.169,0.0003,0.1686,0.1693
