Vehicle_Count,Mean,Std,Min,Max
1,0.006,0.0,0.006,0.0061
2,0.0059,0.0,0.0059,0.0059
3,0.0066,0.0001,0.0065,0.0067
4,0.0066,0.0,0.0066,0.0066
5,0.0066,0.0,0.0066,0.0067
